,VR Task,Gender,Age,Height,Weight,Dominant Hand,VR Experiene,Game Frequency,Sport Frequency,Difficulty,Enjoyment,Fatigue,Personality,Game Familiarity,Slashing Amplitude,Slashing Speed,Slashing Space
0,1,0,0,2,1,1,0,0,1,0,1,0,0,0,0,3,2
1,2,0,0,2,1,1,0,0,1,0,1,0,0,0,0,3,2
2,3,0,0,2,1,1,0,0,1,0,1,0,0,0,0,3,3
3,4,0,0,2,1,1,0,0,1,0,1,0,0,0,0,3,2
4,1,0,0,2,0,1,0,0,0,1,1,1,1,0,1,1,2
5,2,0,0,2,0,1,0,0,0,1,1,1,1,0,1,1,2
6,3,0,0,2,0,1,0,0,0,1,1,1,1,0,1,1,0
7,4,0,0,2,0,1,0,0,0,1,1,1,1,0,1,1,2
8,1,1,1,1,0,1,1,0,0,0,1,0,1,1,3,3,3
9,2,1,1,1,0,1,1,0,0,0,1,0,1,1,3,3,3
10,3,1,1,1,0,1,1,0,0,0,1,0,1,1,3,3,2
11,4,1,1,1,0,1,1,0,0,0,1,0,1,1,3,3,3
12,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,2
13,2,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,2
14,3,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1
15,4,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,2
16,1,1,1,2,1,1,0,0,1,1,1,1,0,0,0,0,0
17,2,1,1,2,1,1,0,0,1,1,1,1,0,0,1,0,0
18,3,1,1,2,1,1,0,0,1,1,1,1,0,0,0,0,0
19,4,1,1,2,1,1,0,0,1,1,1,1,0,0,1,0,0
20,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
21,2,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0
22,3,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
23,4,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
24,1,0,1,2,1,1,0,1,0,0,0,0,1,0,2,1,2
25,2,0,1,2,1,1,0,1,0,0,0,0,1,0,2,1,2
26,3,0,1,2,1,1,0,1,0,0,0,0,1,0,2,1,1
27,4,0,1,2,1,1,0,1,0,0,0,0,1,0,3,2,2
28,1,0,1,2,3,1,0,0,0,0,1,0,0,0,1,0,0
29,2,0,1,2,3,1,0,0,0,0,1,0,0,0,1,0,0
30,3,0,1,2,3,1,0,0,0,0,1,0,0,0,1,0,0
31,4,0,1,2,3,1,0,0,0,0,1,0,0,0,1,0,0
32,1,0,1,3,2,1,1,0,1,1,1,0,1,0,2,0,3
33,2,0,1,3,2,1,1,0,1,1,1,0,1,0,2,0,3
34,3,0,1,3,2,1,1,0,1,1,1,0,1,0,2,1,3
35,4,0,1,3,2,1,1,0,1,1,1,0,1,0,1,0,3
36,1,0,1,2,2,1,0,1,1,1,1,0,0,0,0,0,2
37,2,0,1,2,2,1,0,1,1,1,1,0,0,0,0,0,1
38,3,0,1,2,2,1,0,1,1,1,1,0,0,0,0,0,0
39,4,0,1,2,2,1,0,1,1,1,1,0,0,0,0,0,2
40,1,0,1,3,3,1,0,1,1,0,0,0,1,0,0,0,0
41,2,0,1,3,3,1,0,1,1,0,0,0,1,0,0,0,0
42,3,0,1,3,3,1,0,1,1,0,0,0,1,0,0,0,0
43,4,0,1,3,3,1,0,1,1,0,0,0,1,0,0,0,0
44,1,1,0,0,0,1,1,0,1,1,1,0,1,0,2,0,1
45,2,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,2
46,3,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,2
47,4,1,0,0,0,1,1,0,1,1,1,0,1,0,2,0,1
48,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0
49,2,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1
50,3,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0
51,4,1,0,1,0,1,0,0,0,1,1,0,1,0,2,0,1
52,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
53,2,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
54,3,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0
55,4,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1
56,1,0,1,2,2,1,1,1,0,1,0,0,1,0,0,1,2
57,2,0,1,2,2,1,1,1,0,1,0,0,1,0,1,1,1
58,3,0,1,2,2,1,1,1,0,1,0,0,1,0,0,1,1
59,4,0,1,2,2,1,1,1,0,1,0,0,1,0,0,1,1
60,1,0,1,2,1,1,0,0,1,0,0,1,1,0,1,0,1
61,2,0,1,2,1,1,0,0,1,0,0,1,1,0,2,0,2
62,3,0,1,2,1,1,0,0,1,0,0,1,1,0,1,0,0
63,4,0,1,2,1,1,0,0,1,0,0,1,1,0,2,1,1
64,1,0,0,2,2,1,1,1,0,0,1,0,0,1,3,3,3
65,2,0,0,2,2,1,1,1,0,0,1,0,0,1,3,2,3
66,3,0,0,2,2,1,1,1,0,0,1,0,0,1,3,3,2
67,4,0,0,2,2,1,1,1,0,0,1,0,0,1,3,3,3
68,1,1,0,1,0,1,0,1,1,1,1,1,1,0,2,2,2
69,2,1,0,1,0,1,0,1,1,1,1,1,1,0,1,2,2
70,3,1,0,1,0,1,0,1,1,1,1,1,1,0,2,2,1
71,4,1,0,1,0,1,0,1,1,1,1,1,1,0,2,3,2
72,1,1,0,2,2,1,1,0,0,0,0,0,1,0,3,2,3
73,2,1,0,2,2,1,1,0,0,0,0,0,1,0,3,2,3
74,3,1,0,2,2,1,1,0,0,0,0,0,1,0,3,2,3
75,4,1,0,2,2,1,1,0,0,0,0,0,1,0,3,2,3
76,1,0,1,1,2,1,1,1,0,1,1,0,1,0,2,2,0
77,2,0,1,1,2,1,1,1,0,1,1,0,1,0,2,2,0
78,3,0,1,1,2,1,1,1,0,1,1,0,1,0,2,2,0
79,4,0,1,1,2,1,1,1,0,1,1,0,1,0,2,2,0
80,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,2,2
81,2,1,1,1,1,1,1,1,0,1,1,1,0,1,3,1,2
82,3,1,1,1,1,1,1,1,0,1,1,1,0,1,2,1,0
83,4,1,1,1,1,1,1,1,0,1,1,1,0,1,3,1,1
84,1,1,1,1,0,1,0,0,1,1,1,1,1,0,2,1,1
85,2,1,1,1,0,1,0,0,1,1,1,1,1,0,2,1,1
86,3,1,1,1,0,1,0,0,1,1,1,1,1,0,2,2,1
87,4,1,1,1,0,1,0,0,1,1,1,1,1,0,2,1,1
88,1,0,1,3,2,1,1,0,0,1,1,0,0,0,2,2,1
89,2,0,1,3,2,1,1,0,0,1,1,0,0,0,2,1,1
90,3,0,1,3,2,1,1,0,0,1,1,0,0,0,1,1,1
91,4,0,1,3,2,1,1,0,0,1,1,0,0,0,2,1,1
92,1,0,0,2,1,1,1,0,0,1,1,1,1,1,1,1,0
93,2,0,0,2,1,1,1,0,0,1,1,1,1,1,1,1,0
94,3,0,0,2,1,1,1,0,0,1,1,1,1,1,2,2,0
95,4,0,0,2,1,1,1,0,0,1,1,1,1,1,1,1,0
96,1,0,0,2,1,1,0,1,0,0,0,0,1,0,1,1,0
97,2,0,0,2,1,1,0,1,0,0,0,0,1,0,1,1,0
98,3,0,0,2,1,1,0,1,0,0,0,0,1,0,1,1,0
99,4,0,0,2,1,1,0,1,0,0,0,0,1,0,0,1,0
100,1,0,1,2,2,1,0,1,0,1,1,0,1,1,2,2,3
101,2,0,1,2,2,1,0,1,0,1,1,0,1,1,2,2,2
102,3,0,1,2,2,1,0,1,0,1,1,0,1,1,2,1,2
103,4,0,1,2,2,1,0,1,0,1,1,0,1,1,2,2,3
104,1,0,0,3,3,1,0,1,0,1,1,0,0,0,0,0,2
105,2,0,0,3,3,1,0,1,0,1,1,0,0,0,0,0,3
106,3,0,0,3,3,1,0,1,0,1,1,0,0,0,0,0,1
107,4,0,0,3,3,1,0,1,0,1,1,0,0,0,0,0,2
108,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0
109,2,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0
110,3,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0
111,4,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0
112,1,0,0,3,3,1,0,1,1,1,1,0,1,0,0,0,0
113,2,0,0,3,3,1,0,1,1,1,1,0,1,0,0,0,0
114,3,0,0,3,3,1,0,1,1,1,1,0,1,0,1,1,0
115,4,0,0,3,3,1,0,1,1,1,1,0,1,0,0,0,0
116,1,0,0,1,1,1,0,0,0,1,0,1,0,1,3,2,1
117,2,0,0,1,1,1,0,0,0,1,0,1,0,1,3,1,2
118,3,0,0,1,1,1,0,0,0,1,0,1,0,1,3,2,1
119,4,0,0,1,1,1,0,0,0,1,0,1,0,1,3,2,2
120,1,0,0,2,1,1,1,1,0,1,1,1,1,0,0,0,0
121,2,0,0,2,1,1,1,1,0,1,1,1,1,0,0,0,0
122,3,0,0,2,1,1,1,1,0,1,1,1,1,0,0,0,0
123,4,0,0,2,1,1,1,1,0,1,1,1,1,0,0,0,0
124,1,0,1,2,2,0,0,1,0,1,0,0,0,0,1,3,0
125,2,0,1,2,2,0,0,1,0,1,0,0,0,0,1,2,0
126,3,0,1,2,2,0,0,1,0,1,0,0,0,0,1,3,0
127,4,0,1,2,2,0,0,1,0,1,0,0,0,0,1,3,0
128,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0
129,2,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0
130,3,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0
131,4,1,1,1,1,1,0,0,0,0,1,0,1,0,0,2,0
132,1,1,0,0,0,1,1,1,0,1,1,0,1,1,2,3,3
133,2,1,0,0,0,1,1,1,0,1,1,0,1,1,1,3,3
134,3,1,0,0,0,1,1,1,0,1,1,0,1,1,2,3,1
135,4,1,0,0,0,1,1,1,0,1,1,0,1,1,2,3,3
136,1,1,0,2,1,1,0,0,1,0,1,0,0,0,0,1,2
137,2,1,0,2,1,1,0,0,1,0,1,0,0,0,0,0,1
138,3,1,0,2,1,1,0,0,1,0,1,0,0,0,0,1,1
139,4,1,0,2,1,1,0,0,1,0,1,0,0,0,1,1,1
140,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,2
141,2,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,2
142,3,1,0,1,1,1,0,0,1,1,1,1,1,0,2,2,2
143,4,1,0,1,1,1,0,0,1,1,1,1,1,0,2,2,2
144,1,0,0,3,2,1,0,1,0,0,1,0,1,0,1,1,1
145,2,0,0,3,2,1,0,1,0,0,1,0,1,0,1,1,1
146,3,0,0,3,2,1,0,1,0,0,1,0,1,0,1,1,1
147,4,0,0,3,2,1,0,1,0,0,1,0,1,0,2,1,1
148,1,0,0,2,2,1,0,0,1,1,1,0,1,0,0,1,3
149,2,0,0,2,2,1,0,0,1,1,1,0,1,0,0,1,2
150,3,0,0,2,2,1,0,0,1,1,1,0,1,0,0,1,2
151,4,0,0,2,2,1,0,0,1,1,1,0,1,0,0,1,3
152,1,0,1,3,1,1,1,1,0,0,1,0,0,1,3,3,3
153,2,0,1,3,1,1,1,1,0,0,1,0,0,1,3,3,3
154,3,0,1,3,1,1,1,1,0,0,1,0,0,1,3,3,3
155,4,0,1,3,1,1,1,1,0,0,1,0,0,1,3,3,3
156,1,1,1,1,1,1,0,1,0,0,1,0,1,1,3,2,3
157,2,1,1,1,1,1,0,1,0,0,1,0,1,1,3,2,3
158,3,1,1,1,1,1,0,1,0,0,1,0,1,1,3,3,3
159,4,1,1,1,1,1,0,1,0,0,1,0,1,1,3,2,3
160,1,1,1,0,0,0,1,0,1,1,0,1,1,0,3,3,3
161,2,1,1,0,0,0,1,0,1,1,0,1,1,0,3,3,3
162,3,1,1,0,0,0,1,0,1,1,0,1,1,0,3,3,1
163,4,1,1,0,0,0,1,0,1,1,0,1,1,0,3,3,2
164,1,0,1,3,2,1,1,1,1,0,1,0,1,1,0,2,3
165,2,0,1,3,2,1,1,1,1,0,1,0,1,1,1,2,3
166,3,0,1,3,2,1,1,1,1,0,1,0,1,1,1,2,3
167,4,0,1,3,2,1,1,1,1,0,1,0,1,1,0,2,2
168,1,0,1,2,1,1,0,0,0,0,1,0,0,1,2,3,3
169,2,0,1,2,1,1,0,0,0,0,1,0,0,1,2,3,3
170,3,0,1,2,1,1,0,0,0,0,1,0,0,1,2,3,3
171,4,0,1,2,1,1,0,0,0,0,1,0,0,1,2,3,3
172,1,0,1,1,1,1,1,1,1,1,1,0,1,0,3,3,3
173,2,0,1,1,1,1,1,1,1,1,1,0,1,0,3,3,3
174,3,0,1,1,1,1,1,1,1,1,1,0,1,0,3,3,3
175,4,0,1,1,1,1,1,1,1,1,1,0,1,0,3,3,3
176,1,0,0,3,2,1,0,1,1,1,1,0,1,0,3,3,3
177,2,0,0,3,2,1,0,1,1,1,1,0,1,0,3,3,3
178,3,0,0,3,2,1,0,1,1,1,1,0,1,0,3,3,3
179,4,0,0,3,2,1,0,1,1,1,1,0,1,0,3,3,3
180,1,1,1,2,2,1,0,0,0,1,1,0,0,0,1,2,1
181,2,1,1,2,2,1,0,0,0,1,1,0,0,0,1,1,1
182,3,1,1,2,2,1,0,0,0,1,1,0,0,0,0,1,0
183,4,1,1,2,2,1,0,0,0,1,1,0,0,0,1,2,1
184,1,1,1,1,1,1,0,1,0,1,1,0,1,1,3,3,1
185,2,1,1,1,1,1,0,1,0,1,1,0,1,1,3,3,1
186,3,1,1,1,1,1,0,1,0,1,1,0,1,1,3,3,0
187,4,1,1,1,1,1,0,1,0,1,1,0,1,1,3,3,1
188,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,2,2
189,2,1,1,1,0,1,0,0,0,1,1,1,1,0,1,2,1
190,3,1,1,1,0,1,0,0,0,1,1,1,1,0,1,3,1
191,4,1,1,1,0,1,0,0,0,1,1,1,1,0,2,2,2
192,1,1,1,1,0,1,0,0,0,1,1,1,1,0,2,2,2
193,2,1,1,1,0,1,0,0,0,1,1,1,1,0,2,2,3
194,3,1,1,1,0,1,0,0,0,1,1,1,1,0,1,2,2
195,4,1,1,1,0,1,0,0,0,1,1,1,1,0,2,2,3
196,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,2
197,2,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,2
198,3,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,2
199,4,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,2
200,1,1,1,2,1,1,0,1,0,0,1,0,1,1,2,2,1
201,2,1,1,2,1,1,0,1,0,0,1,0,1,1,2,2,1
202,3,1,1,2,1,1,0,1,0,0,1,0,1,1,2,2,1
203,4,1,1,2,1,1,0,1,0,0,1,0,1,1,3,3,1
204,1,1,1,2,0,1,0,0,1,0,1,0,1,1,2,2,1
205,2,1,1,2,0,1,0,0,1,0,1,0,1,1,3,2,1
206,3,1,1,2,0,1,0,0,1,0,1,0,1,1,2,2,1
207,4,1,1,2,0,1,0,0,1,0,1,0,1,1,3,2,1
208,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,2
209,2,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,2
210,3,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1
211,4,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,3
212,1,1,1,1,1,1,0,0,0,1,1,0,1,1,2,2,2
213,2,1,1,1,1,1,0,0,0,1,1,0,1,1,3,3,2
214,3,1,1,1,1,1,0,0,0,1,1,0,1,1,2,2,2
215,4,1,1,1,1,1,0,0,0,1,1,0,1,1,3,3,2
216,1,1,1,1,1,1,0,0,0,0,1,0,0,1,2,2,2
217,2,1,1,1,1,1,0,0,0,0,1,0,0,1,2,2,2
218,3,1,1,1,1,1,0,0,0,0,1,0,0,1,2,2,0
219,4,1,1,1,1,1,0,0,0,0,1,0,0,1,2,2,2
220,1,1,1,1,0,1,0,0,0,1,1,1,1,1,3,3,3
221,2,1,1,1,0,1,0,0,0,1,1,1,1,1,2,2,3
222,3,1,1,1,0,1,0,0,0,1,1,1,1,1,1,2,2
223,4,1,1,1,0,1,0,0,0,1,1,1,1,1,3,3,3
224,1,1,1,1,1,1,0,0,0,1,1,1,1,1,3,3,3
225,2,1,1,1,1,1,0,0,0,1,1,1,1,1,3,3,3
226,3,1,1,1,1,1,0,0,0,1,1,1,1,1,3,3,3
227,4,1,1,1,1,1,0,0,0,1,1,1,1,1,3,3,3
228,1,0,1,1,1,1,1,1,0,0,1,0,0,1,3,3,1
229,2,0,1,1,1,1,1,1,0,0,1,0,0,1,3,3,1
230,3,0,1,1,1,1,1,1,0,0,1,0,0,1,3,3,1
231,4,0,1,1,1,1,1,1,0,0,1,0,0,1,3,3,1
