,event,gender,age,height,weight,fre_side,VR_exp,game_fre,sport_fre,difficulty,enjoyment,fatigue,personality,familiarity,cut_mean,speed_mean,space_max,space_mean
0,1,1,19,178,60,2,1,2,4,2,4,2,2,0,0.0,3.0,2.0,2.0
1,2,1,19,178,60,2,1,2,4,2,4,2,2,0,0.0,3.0,2.0,1.0
2,3,1,19,178,60,2,1,2,4,2,4,2,2,0,0.0,3.0,3.0,2.0
3,4,1,19,178,60,2,1,2,4,2,4,2,2,0,0.0,3.0,2.0,3.0
4,1,1,20,170,53,2,1,2,2,3,5,3,1,0,1.0,1.0,2.0,2.0
5,2,1,20,170,53,2,1,2,2,3,5,3,1,0,1.0,1.0,2.0,1.0
6,3,1,20,170,53,2,1,2,2,3,5,3,1,0,1.0,1.0,0.0,2.0
7,4,1,20,170,53,2,1,2,2,3,5,3,1,0,1.0,1.0,2.0,2.0
8,1,2,21,164,48,2,3,1,3,2,5,1,1,1,3.0,3.0,3.0,3.0
9,2,2,21,164,48,2,3,1,3,2,5,1,1,1,3.0,3.0,3.0,2.0
10,3,2,21,164,48,2,3,1,3,2,5,1,1,1,3.0,3.0,2.0,3.0
11,4,2,21,164,48,2,3,1,3,2,5,1,1,1,3.0,3.0,3.0,3.0
12,1,2,22,160,50,2,2,2,6,3,3,3,2,0,1.0,1.0,2.0,2.0
13,2,2,22,160,50,2,2,2,6,3,3,3,2,0,1.0,1.0,2.0,2.0
14,3,2,22,160,50,2,2,2,6,3,3,3,2,0,1.0,0.0,1.0,2.0
15,4,2,22,160,50,2,2,2,6,3,3,3,2,0,1.0,1.0,2.0,2.0
16,1,2,21,172,66,2,1,1,4,3,5,3,2,0,0.0,0.0,0.0,0.0
17,2,2,21,172,66,2,1,1,4,3,5,3,2,0,1.0,0.0,0.0,0.0
18,3,2,21,172,66,2,1,1,4,3,5,3,2,0,0.0,0.0,0.0,0.0
19,4,2,21,172,66,2,1,1,4,3,5,3,2,0,1.0,0.0,0.0,0.0
20,1,2,22,152,63,2,1,3,2,2,4,1,2,0,0.0,0.0,0.0,2.0
21,2,2,22,152,63,2,1,3,2,2,4,1,2,0,1.0,0.0,0.0,1.0
22,3,2,22,152,63,2,1,3,2,2,4,1,2,0,0.0,0.0,0.0,2.0
23,4,2,22,152,63,2,1,3,2,2,4,1,2,0,0.0,0.0,0.0,2.0
24,1,1,22,170,65,2,1,3,3,2,3,1,1,0,2.0,1.0,2.0,1.0
25,2,1,22,170,65,2,1,3,3,2,3,1,1,0,2.0,1.0,2.0,1.0
26,3,1,22,170,65,2,1,3,3,2,3,1,1,0,2.0,1.0,1.0,1.0
27,4,1,22,170,65,2,1,3,3,2,3,1,1,0,3.0,2.0,2.0,2.0
28,1,1,21,175,85,2,1,1,2,2,5,1,2,0,1.0,0.0,0.0,1.0
29,2,1,21,175,85,2,1,1,2,2,5,1,2,0,1.0,0.0,0.0,0.0
30,3,1,21,175,85,2,1,1,2,2,5,1,2,0,1.0,0.0,0.0,1.0
31,4,1,21,175,85,2,1,1,2,2,5,1,2,0,1.0,0.0,0.0,1.0
32,1,1,23,187,75,2,2,1,4,3,5,1,1,0,2.0,0.0,3.0,3.0
33,2,1,23,187,75,2,2,1,4,3,5,1,1,0,2.0,0.0,3.0,3.0
34,3,1,23,187,75,2,2,1,4,3,5,1,1,0,2.0,1.0,3.0,3.0
35,4,1,23,187,75,2,2,1,4,3,5,1,1,0,1.0,0.0,3.0,3.0
36,1,1,21,173,70,2,1,3,6,4,4,2,2,0,0.0,0.0,2.0,3.0
37,2,1,21,173,70,2,1,3,6,4,4,2,2,0,0.0,0.0,1.0,3.0
38,3,1,21,173,70,2,1,3,6,4,4,2,2,0,0.0,0.0,0.0,3.0
39,4,1,21,173,70,2,1,3,6,4,4,2,2,0,0.0,0.0,2.0,3.0
40,1,1,22,191,95,2,1,4,9,2,2,1,1,0,0.0,0.0,0.0,0.0
41,2,1,22,191,95,2,1,4,9,2,2,1,1,0,0.0,0.0,0.0,0.0
42,3,1,22,191,95,2,1,4,9,2,2,1,1,0,0.0,0.0,0.0,1.0
43,4,1,22,191,95,2,1,4,9,2,2,1,1,0,0.0,0.0,0.0,1.0
44,1,2,19,158,49,2,2,2,4,3,4,1,1,0,2.0,0.0,1.0,2.0
45,2,2,19,158,49,2,2,2,4,3,4,1,1,0,1.0,0.0,2.0,1.0
46,3,2,19,158,49,2,2,2,4,3,4,1,1,0,1.0,0.0,2.0,2.0
47,4,2,19,158,49,2,2,2,4,3,4,1,1,0,2.0,0.0,1.0,2.0
48,1,2,18,162,51,2,1,2,2,4,5,2,1,0,1.0,0.0,0.0,2.0
49,2,2,18,162,51,2,1,2,2,4,5,2,1,0,1.0,0.0,1.0,2.0
50,3,2,18,162,51,2,1,2,2,4,5,2,1,0,0.0,0.0,0.0,2.0
51,4,2,18,162,51,2,1,2,2,4,5,2,1,0,2.0,0.0,1.0,2.0
52,1,2,18,160,54,2,1,1,2,3,4,2,1,0,0.0,0.0,1.0,1.0
53,2,2,18,160,54,2,1,1,2,3,4,2,1,0,0.0,0.0,1.0,0.0
54,3,2,18,160,54,2,1,1,2,3,4,2,1,0,0.0,0.0,0.0,1.0
55,4,2,18,160,54,2,1,1,2,3,4,2,1,0,1.0,0.0,1.0,1.0
56,1,1,21,170,70,2,2,4,1,3,3,1,1,0,0.0,1.0,2.0,2.0
57,2,1,21,170,70,2,2,4,1,3,3,1,1,0,1.0,1.0,1.0,2.0
58,3,1,21,170,70,2,2,4,1,3,3,1,1,0,0.0,1.0,1.0,2.0
59,4,1,21,170,70,2,2,4,1,3,3,1,1,0,0.0,1.0,1.0,2.0
60,1,1,22,175,55,2,1,1,6,2,3,4,1,0,1.0,0.0,1.0,0.0
61,2,1,22,175,55,2,1,1,6,2,3,4,1,0,2.0,0.0,2.0,0.0
62,3,1,22,175,55,2,1,1,6,2,3,4,1,0,1.0,0.0,0.0,0.0
63,4,1,22,175,55,2,1,1,6,2,3,4,1,0,2.0,1.0,1.0,0.0
64,1,1,20,173,70,2,3,4,2,2,4,2,2,1,3.0,3.0,3.0,3.0
65,2,1,20,173,70,2,3,4,2,2,4,2,2,1,3.0,2.0,3.0,1.0
66,3,1,20,173,70,2,3,4,2,2,4,2,2,1,3.0,3.0,2.0,2.0
67,4,1,20,173,70,2,3,4,2,2,4,2,2,1,3.0,3.0,3.0,3.0
68,1,2,19,166,50,2,1,3,4,3,4,3,1,0,2.0,2.0,2.0,1.0
69,2,2,19,166,50,2,1,3,4,3,4,3,1,0,1.0,2.0,2.0,0.0
70,3,2,19,166,50,2,1,3,4,3,4,3,1,0,2.0,2.0,1.0,1.0
71,4,2,19,166,50,2,1,3,4,3,4,3,1,0,2.0,3.0,2.0,1.0
72,1,2,19,174,79,2,2,2,1,2,3,2,1,0,3.0,2.0,3.0,3.0
73,2,2,19,174,79,2,2,2,1,2,3,2,1,0,3.0,2.0,3.0,3.0
74,3,2,19,174,79,2,2,2,1,2,3,2,1,0,3.0,2.0,3.0,3.0
75,4,2,19,174,79,2,2,2,1,2,3,2,1,0,3.0,2.0,3.0,3.0
76,1,1,22,168,72,2,2,4,1,3,4,2,1,0,2.0,2.0,0.0,0.0
77,2,1,22,168,72,2,2,4,1,3,4,2,1,0,2.0,2.0,0.0,0.0
78,3,1,22,168,72,2,2,4,1,3,4,2,1,0,2.0,2.0,0.0,0.0
79,4,1,22,168,72,2,2,4,1,3,4,2,1,0,2.0,2.0,0.0,0.0
80,1,2,22,163,60,2,2,4,2,3,4,4,2,1,2.0,2.0,2.0,1.0
81,2,2,22,163,60,2,2,4,2,3,4,4,2,1,3.0,1.0,2.0,0.0
82,3,2,22,163,60,2,2,4,2,3,4,4,2,1,2.0,1.0,0.0,1.0
83,4,2,22,163,60,2,2,4,2,3,4,4,2,1,3.0,1.0,1.0,2.0
84,1,2,22,168,54,2,1,1,4,3,5,3,1,0,2.0,1.0,1.0,2.0
85,2,2,22,168,54,2,1,1,4,3,5,3,1,0,2.0,1.0,1.0,1.0
86,3,2,22,168,54,2,1,1,4,3,5,3,1,0,2.0,2.0,1.0,1.0
87,4,2,22,168,54,2,1,1,4,3,5,3,1,0,2.0,1.0,1.0,1.0
88,1,1,22,180,75,2,2,2,2,3,5,1,2,0,2.0,2.0,1.0,1.0
89,2,1,22,180,75,2,2,2,2,3,5,1,2,0,2.0,1.0,1.0,0.0
90,3,1,22,180,75,2,2,2,2,3,5,1,2,0,1.0,1.0,1.0,1.0
91,4,1,22,180,75,2,2,2,2,3,5,1,2,0,2.0,1.0,1.0,0.0
92,1,1,20,176,69,2,3,2,2,3,4,3,1,1,1.0,1.0,0.0,0.0
93,2,1,20,176,69,2,3,2,2,3,4,3,1,1,1.0,1.0,0.0,0.0
94,3,1,20,176,69,2,3,2,2,3,4,3,1,1,2.0,2.0,0.0,0.0
95,4,1,20,176,69,2,3,2,2,3,4,3,1,1,1.0,1.0,0.0,0.0
96,1,1,19,173,69,2,1,3,2,2,3,2,1,0,1.0,1.0,0.0,1.0
97,2,1,19,173,69,2,1,3,2,2,3,2,1,0,1.0,1.0,0.0,0.0
98,3,1,19,173,69,2,1,3,2,2,3,2,1,0,1.0,1.0,0.0,1.0
99,4,1,19,173,69,2,1,3,2,2,3,2,1,0,0.0,1.0,0.0,1.0
100,1,1,21,178,70,2,1,3,1,3,5,1,1,1,2.0,2.0,3.0,3.0
101,2,1,21,178,70,2,1,3,1,3,5,1,1,1,2.0,2.0,2.0,2.0
102,3,1,21,178,70,2,1,3,1,3,5,1,1,1,2.0,1.0,2.0,3.0
103,4,1,21,178,70,2,1,3,1,3,5,1,1,1,2.0,2.0,3.0,3.0
104,1,1,19,180,85,2,1,3,3,3,4,2,2,0,0.0,0.0,2.0,2.0
105,2,1,19,180,85,2,1,3,3,3,4,2,2,0,0.0,0.0,3.0,2.0
106,3,1,19,180,85,2,1,3,3,3,4,2,2,0,0.0,0.0,1.0,2.0
107,4,1,19,180,85,2,1,3,3,3,4,2,2,0,0.0,0.0,2.0,3.0
108,1,1,18,163,55,2,1,4,2,1,4,2,1,0,1.0,1.0,0.0,1.0
109,2,1,18,163,55,2,1,4,2,1,4,2,1,0,1.0,1.0,0.0,0.0
110,3,1,18,163,55,2,1,4,2,1,4,2,1,0,1.0,1.0,0.0,1.0
111,4,1,18,163,55,2,1,4,2,1,4,2,1,0,1.0,1.0,0.0,1.0
112,1,1,19,180,95,2,1,4,4,3,4,2,1,0,0.0,0.0,0.0,0.0
113,2,1,19,180,95,2,1,4,4,3,4,2,1,0,0.0,0.0,0.0,0.0
114,3,1,19,180,95,2,1,4,4,3,4,2,1,0,1.0,1.0,0.0,0.0
115,4,1,19,180,95,2,1,4,4,3,4,2,1,0,0.0,0.0,0.0,1.0
116,1,1,20,165,60,2,1,2,2,3,3,3,2,1,3.0,2.0,1.0,2.0
117,2,1,20,165,60,2,1,2,2,3,3,3,2,1,3.0,1.0,2.0,0.0
118,3,1,20,165,60,2,1,2,2,3,3,3,2,1,3.0,2.0,1.0,1.0
119,4,1,20,165,60,2,1,2,2,3,3,3,2,1,3.0,2.0,2.0,2.0
120,1,1,19,173,61,2,2,4,2,3,4,3,1,0,0.0,0.0,0.0,0.0
121,2,1,19,173,61,2,2,4,2,3,4,3,1,0,0.0,0.0,0.0,0.0
122,3,1,19,173,61,2,2,4,2,3,4,3,1,0,0.0,0.0,0.0,0.0
123,4,1,19,173,61,2,2,4,2,3,4,3,1,0,0.0,0.0,0.0,0.0
124,1,1,22,178,80,1,1,3,1,3,3,2,2,0,1.0,3.0,0.0,0.0
125,2,1,22,178,80,1,1,3,1,3,3,2,2,0,1.0,2.0,0.0,0.0
126,3,1,22,178,80,1,1,3,1,3,3,2,2,0,1.0,3.0,0.0,0.0
127,4,1,22,178,80,1,1,3,1,3,3,2,2,0,1.0,3.0,0.0,0.0
128,1,2,21,160,55,2,1,1,1,2,4,2,1,0,0.0,1.0,0.0,0.0
129,2,2,21,160,55,2,1,1,1,2,4,2,1,0,0.0,1.0,0.0,0.0
130,3,2,21,160,55,2,1,1,1,2,4,2,1,0,0.0,1.0,0.0,0.0
131,4,2,21,160,55,2,1,1,1,2,4,2,1,0,0.0,2.0,0.0,1.0
132,1,2,18,150,40,2,2,3,2,3,4,2,1,1,2.0,3.0,3.0,1.0
133,2,2,18,150,40,2,2,3,2,3,4,2,1,1,1.0,3.0,3.0,0.0
134,3,2,18,150,40,2,2,3,2,3,4,2,1,1,2.0,3.0,1.0,1.0
135,4,2,18,150,40,2,2,3,2,3,4,2,1,1,2.0,3.0,3.0,0.0
136,1,2,18,174,61,2,1,2,4,2,4,2,2,0,0.0,1.0,2.0,2.0
137,2,2,18,174,61,2,1,2,4,2,4,2,2,0,0.0,0.0,1.0,1.0
138,3,2,18,174,61,2,1,2,4,2,4,2,2,0,0.0,1.0,1.0,1.0
139,4,2,18,174,61,2,1,2,4,2,4,2,2,0,1.0,1.0,1.0,2.0
140,1,2,19,168,65,2,1,1,6,3,4,3,1,0,1.0,1.0,2.0,3.0
141,2,2,19,168,65,2,1,1,6,3,4,3,1,0,1.0,1.0,2.0,3.0
142,3,2,19,168,65,2,1,1,6,3,4,3,1,0,2.0,2.0,2.0,3.0
143,4,2,19,168,65,2,1,1,6,3,4,3,1,0,2.0,2.0,2.0,3.0
144,1,1,19,183,75,2,1,3,2,2,4,1,1,0,1.0,1.0,1.0,2.0
145,2,1,19,183,75,2,1,3,2,2,4,1,1,0,1.0,1.0,1.0,1.0
146,3,1,19,183,75,2,1,3,2,2,4,1,1,0,1.0,1.0,1.0,2.0
147,4,1,19,183,75,2,1,3,2,2,4,1,1,0,2.0,1.0,1.0,2.0
148,1,1,19,175,73,2,1,2,6,3,4,1,1,0,0.0,1.0,3.0,3.0
149,2,1,19,175,73,2,1,2,6,3,4,1,1,0,0.0,1.0,2.0,2.0
150,3,1,19,175,73,2,1,2,6,3,4,1,1,0,0.0,1.0,2.0,3.0
151,4,1,19,175,73,2,1,2,6,3,4,1,1,0,0.0,1.0,3.0,3.0
152,1,1,21,185,62,2,3,4,3,2,4,2,2,1,3.0,3.0,3.0,1.0
153,2,1,21,185,62,2,3,4,3,2,4,2,2,1,3.0,3.0,3.0,0.0
154,3,1,21,185,62,2,3,4,3,2,4,2,2,1,3.0,3.0,3.0,1.0
155,4,1,21,185,62,2,3,4,3,2,4,2,2,1,3.0,3.0,3.0,1.0
156,1,2,24,165,59,2,1,4,1,1,5,1,1,1,3.0,2.0,3.0,2.0
157,2,2,24,165,59,2,1,4,1,1,5,1,1,1,3.0,2.0,3.0,0.0
158,3,2,24,165,59,2,1,4,1,1,5,1,1,1,3.0,3.0,3.0,1.0
159,4,2,24,165,59,2,1,4,1,1,5,1,1,1,3.0,2.0,3.0,1.0
160,1,2,22,149,44,1,2,1,4,3,3,3,1,0,3.0,3.0,3.0,3.0
161,2,2,22,149,44,1,2,1,4,3,3,3,1,0,3.0,3.0,3.0,2.0
162,3,2,22,149,44,1,2,1,4,3,3,3,1,0,3.0,3.0,1.0,2.0
163,4,2,22,149,44,1,2,1,4,3,3,3,1,0,3.0,3.0,2.0,2.0
164,1,1,22,183,83,2,2,3,6,2,4,1,1,1,0.0,2.0,3.0,3.0
165,2,1,22,183,83,2,2,3,6,2,4,1,1,1,1.0,2.0,3.0,2.0
166,3,1,22,183,83,2,2,3,6,2,4,1,1,1,1.0,2.0,3.0,3.0
167,4,1,22,183,83,2,2,3,6,2,4,1,1,1,0.0,2.0,2.0,3.0
168,1,1,22,176,60,2,1,1,2,2,5,2,2,1,2.0,3.0,3.0,2.0
169,2,1,22,176,60,2,1,1,2,2,5,2,2,1,2.0,3.0,3.0,1.0
170,3,1,22,176,60,2,1,1,2,2,5,2,2,1,2.0,3.0,3.0,2.0
171,4,1,22,176,60,2,1,1,2,2,5,2,2,1,2.0,3.0,3.0,3.0
172,1,1,22,168,55,2,2,4,6,4,4,1,1,0,3.0,3.0,3.0,3.0
173,2,1,22,168,55,2,2,4,6,4,4,1,1,0,3.0,3.0,3.0,3.0
174,3,1,22,168,55,2,2,4,6,4,4,1,1,0,3.0,3.0,3.0,3.0
175,4,1,22,168,55,2,2,4,6,4,4,1,1,0,3.0,3.0,3.0,3.0
176,1,1,20,187,72,2,1,4,6,3,5,1,1,0,3.0,3.0,3.0,2.0
177,2,1,20,187,72,2,1,4,6,3,5,1,1,0,3.0,3.0,3.0,1.0
178,3,1,20,187,72,2,1,4,6,3,5,1,1,0,3.0,3.0,3.0,2.0
179,4,1,20,187,72,2,1,4,6,3,5,1,1,0,3.0,3.0,3.0,2.0
180,1,2,23,170,70,2,1,2,2,4,4,2,2,0,1.0,2.0,1.0,0.0
181,2,2,23,170,70,2,1,2,2,4,4,2,2,0,1.0,1.0,1.0,0.0
182,3,2,23,170,70,2,1,2,2,4,4,2,2,0,0.0,1.0,0.0,0.0
183,4,2,23,170,70,2,1,2,2,4,4,2,2,0,1.0,2.0,1.0,0.0
184,1,2,22,165,60,2,1,3,1,3,5,1,1,1,3.0,3.0,1.0,0.0
185,2,2,22,165,60,2,1,3,1,3,5,1,1,1,3.0,3.0,1.0,0.0
186,3,2,22,165,60,2,1,3,1,3,5,1,1,1,3.0,3.0,0.0,0.0
187,4,2,22,165,60,2,1,3,1,3,5,1,1,1,3.0,3.0,1.0,0.0
188,1,2,22,165,51,2,1,2,1,4,5,3,1,0,1.0,2.0,2.0,3.0
189,2,2,22,165,51,2,1,2,1,4,5,3,1,0,1.0,2.0,1.0,3.0
190,3,2,22,165,51,2,1,2,1,4,5,3,1,0,1.0,3.0,1.0,3.0
191,4,2,22,165,51,2,1,2,1,4,5,3,1,0,2.0,2.0,2.0,2.0
192,1,2,24,162,52,2,1,2,1,3,5,3,1,0,2.0,2.0,2.0,3.0
193,2,2,24,162,52,2,1,2,1,3,5,3,1,0,2.0,2.0,3.0,3.0
194,3,2,24,162,52,2,1,2,1,3,5,3,1,0,1.0,2.0,2.0,3.0
195,4,2,24,162,52,2,1,2,1,3,5,3,1,0,2.0,2.0,3.0,3.0
196,1,2,23,164,55,2,1,2,1,3,5,3,1,0,0.0,0.0,2.0,3.0
197,2,2,23,164,55,2,1,2,1,3,5,3,1,0,0.0,0.0,2.0,2.0
198,3,2,23,164,55,2,1,2,1,3,5,3,1,0,0.0,0.0,2.0,3.0
199,4,2,23,164,55,2,1,2,1,3,5,3,1,0,0.0,1.0,2.0,3.0
200,1,2,22,173,64,2,1,3,1,2,5,1,1,1,2.0,2.0,1.0,3.0
201,2,2,22,173,64,2,1,3,1,2,5,1,1,1,2.0,2.0,1.0,2.0
202,3,2,22,173,64,2,1,3,1,2,5,1,1,1,2.0,2.0,1.0,3.0
203,4,2,22,173,64,2,1,3,1,2,5,1,1,1,3.0,3.0,1.0,3.0
204,1,2,22,172,52,2,1,2,4,1,5,2,1,1,2.0,2.0,1.0,1.0
205,2,2,22,172,52,2,1,2,4,1,5,2,1,1,3.0,2.0,1.0,0.0
206,3,2,22,172,52,2,1,2,4,1,5,2,1,1,2.0,2.0,1.0,1.0
207,4,2,22,172,52,2,1,2,4,1,5,2,1,1,3.0,2.0,1.0,1.0
208,1,2,22,159,48,2,1,1,1,3,5,3,2,0,0.0,0.0,2.0,3.0
209,2,2,22,159,48,2,1,1,1,3,5,3,2,0,0.0,0.0,2.0,3.0
210,3,2,22,159,48,2,1,1,1,3,5,3,2,0,0.0,0.0,1.0,3.0
211,4,2,22,159,48,2,1,1,1,3,5,3,2,0,0.0,0.0,3.0,3.0
212,1,2,25,160,60,2,1,1,1,3,4,1,1,1,2.0,2.0,2.0,1.0
213,2,2,25,160,60,2,1,1,1,3,4,1,1,1,3.0,3.0,2.0,0.0
214,3,2,25,160,60,2,1,1,1,3,4,1,1,1,2.0,2.0,2.0,0.0
215,4,2,25,160,60,2,1,1,1,3,4,1,1,1,3.0,3.0,2.0,1.0
216,1,2,23,166,60,2,1,2,1,2,4,1,2,1,2.0,2.0,2.0,1.0
217,2,2,23,166,60,2,1,2,1,2,4,1,2,1,2.0,2.0,2.0,0.0
218,3,2,23,166,60,2,1,2,1,2,4,1,2,1,2.0,2.0,0.0,1.0
219,4,2,23,166,60,2,1,2,1,2,4,1,2,1,2.0,2.0,2.0,2.0
220,1,2,23,163,50,2,1,1,1,4,4,4,1,1,3.0,3.0,3.0,3.0
221,2,2,23,163,50,2,1,1,1,4,4,4,1,1,2.0,2.0,3.0,2.0
222,3,2,23,163,50,2,1,1,1,4,4,4,1,1,1.0,2.0,2.0,2.0
223,4,2,23,163,50,2,1,1,1,4,4,4,1,1,3.0,3.0,3.0,2.0
224,1,2,24,165,62,2,1,1,1,3,5,3,1,1,3.0,3.0,3.0,3.0
225,2,2,24,165,62,2,1,1,1,3,5,3,1,1,3.0,3.0,3.0,1.0
226,3,2,24,165,62,2,1,1,1,3,5,3,1,1,3.0,3.0,3.0,2.0
227,4,2,24,165,62,2,1,1,1,3,5,3,1,1,3.0,3.0,3.0,3.0
228,1,1,21,168,65,2,2,3,2,2,4,1,2,1,3.0,3.0,1.0,1.0
229,2,1,21,168,65,2,2,3,2,2,4,1,2,1,3.0,3.0,1.0,0.0
230,3,1,21,168,65,2,2,3,2,2,4,1,2,1,3.0,3.0,1.0,1.0
231,4,1,21,168,65,2,2,3,2,2,4,1,2,1,3.0,3.0,1.0,1.0
